"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GDP","TOT","USD_CAP","A","2015",47304.816745,
"AUS","GDP","TOT","USD_CAP","A","2016",50284.172793,
"AUS","GDP","TOT","USD_CAP","A","2017",51297.139196,
"AUS","GDP","TOT","USD_CAP","A","2018",53700.680893,
"AUS","GDP","TOT","USD_CAP","A","2019",54752.242834,"E"
"AUT","GDP","TOT","USD_CAP","A","2015",49955.456118,
"AUT","GDP","TOT","USD_CAP","A","2016",52614.377745,
"AUT","GDP","TOT","USD_CAP","A","2017",54652.468293,
"AUT","GDP","TOT","USD_CAP","A","2018",56889.351557,
"AUT","GDP","TOT","USD_CAP","A","2019",58643.446351,
"BEL","GDP","TOT","USD_CAP","A","2015",46214.082208,
"BEL","GDP","TOT","USD_CAP","A","2016",48610.767252,
"BEL","GDP","TOT","USD_CAP","A","2017",50725.88846,
"BEL","GDP","TOT","USD_CAP","A","2018",52249.787585,
"BEL","GDP","TOT","USD_CAP","A","2019",53612.499468,
"CAN","GDP","TOT","USD_CAP","A","2015",44671.409504,
"CAN","GDP","TOT","USD_CAP","A","2016",46480.50132,
"CAN","GDP","TOT","USD_CAP","A","2017",48633.836154,
"CAN","GDP","TOT","USD_CAP","A","2018",50077.786708,
"CAN","GDP","TOT","USD_CAP","A","2019",50967.306926,
"CZE","GDP","TOT","USD_CAP","A","2015",33701.384,
"CZE","GDP","TOT","USD_CAP","A","2016",35880.287434,
"CZE","GDP","TOT","USD_CAP","A","2017",38507.349496,
"CZE","GDP","TOT","USD_CAP","A","2018",40402.65213,
"CZE","GDP","TOT","USD_CAP","A","2019",42165.137486,
"DNK","GDP","TOT","USD_CAP","A","2015",49071.304706,
"DNK","GDP","TOT","USD_CAP","A","2016",51961.77129,
"DNK","GDP","TOT","USD_CAP","A","2017",55045.621474,
"DNK","GDP","TOT","USD_CAP","A","2018",57214.807946,
"DNK","GDP","TOT","USD_CAP","A","2019",59134.565559,
"FIN","GDP","TOT","USD_CAP","A","2015",42501.611531,
"FIN","GDP","TOT","USD_CAP","A","2016",44929.949421,
"FIN","GDP","TOT","USD_CAP","A","2017",47481.333947,
"FIN","GDP","TOT","USD_CAP","A","2018",49367.139959,
"FIN","GDP","TOT","USD_CAP","A","2019",50533.95522,
"FRA","GDP","TOT","USD_CAP","A","2015",40840.848298,
"FRA","GDP","TOT","USD_CAP","A","2016",42851.615696,
"FRA","GDP","TOT","USD_CAP","A","2017",44693.757759,
"FRA","GDP","TOT","USD_CAP","A","2018",46397.964403,"P"
"FRA","GDP","TOT","USD_CAP","A","2019",47685.574465,"P"
"DEU","GDP","TOT","USD_CAP","A","2015",47683.547301,
"DEU","GDP","TOT","USD_CAP","A","2016",50564.049275,
"DEU","GDP","TOT","USD_CAP","A","2017",53011.742456,
"DEU","GDP","TOT","USD_CAP","A","2018",54456.783931,
"DEU","GDP","TOT","USD_CAP","A","2019",55742.606059,
"GRC","GDP","TOT","USD_CAP","A","2015",26902.327613,"P"
"GRC","GDP","TOT","USD_CAP","A","2016",27823.314892,"P"
"GRC","GDP","TOT","USD_CAP","A","2017",29088.947934,"P"
"GRC","GDP","TOT","USD_CAP","A","2018",30354.314639,"P"
"GRC","GDP","TOT","USD_CAP","A","2019",31171.672881,"P"
"HUN","GDP","TOT","USD_CAP","A","2015",26668.040855,
"HUN","GDP","TOT","USD_CAP","A","2016",27699.630853,
"HUN","GDP","TOT","USD_CAP","A","2017",29529.309338,
"HUN","GDP","TOT","USD_CAP","A","2018",31578.759892,
"HUN","GDP","TOT","USD_CAP","A","2019",33792.388905,"P"
"ISL","GDP","TOT","USD_CAP","A","2015",48856.560901,
"ISL","GDP","TOT","USD_CAP","A","2016",53031.605301,
"ISL","GDP","TOT","USD_CAP","A","2017",55562.426662,
"ISL","GDP","TOT","USD_CAP","A","2018",57745.588159,
"ISL","GDP","TOT","USD_CAP","A","2019",58469.639916,"E"
"IRL","GDP","TOT","USD_CAP","A","2015",69147.029059,
"IRL","GDP","TOT","USD_CAP","A","2016",72017.755243,
"IRL","GDP","TOT","USD_CAP","A","2017",78211.410456,
"IRL","GDP","TOT","USD_CAP","A","2018",84575.437304,
"IRL","GDP","TOT","USD_CAP","A","2019",90140.764256,
"ITA","GDP","TOT","USD_CAP","A","2015",36909.296843,
"ITA","GDP","TOT","USD_CAP","A","2016",39922.933208,
"ITA","GDP","TOT","USD_CAP","A","2017",41784.603781,
"ITA","GDP","TOT","USD_CAP","A","2018",42790.060193,
"ITA","GDP","TOT","USD_CAP","A","2019",43889.22045,
"JPN","GDP","TOT","USD_CAP","A","2015",40406.095333,
"JPN","GDP","TOT","USD_CAP","A","2016",39990.049446,
"JPN","GDP","TOT","USD_CAP","A","2017",40884.616367,
"JPN","GDP","TOT","USD_CAP","A","2018",41363.670243,
"JPN","GDP","TOT","USD_CAP","A","2019",42485.852229,"E"
"KOR","GDP","TOT","USD_CAP","A","2015",37907.460937,
"KOR","GDP","TOT","USD_CAP","A","2016",39566.864428,
"KOR","GDP","TOT","USD_CAP","A","2017",41000.995844,
"KOR","GDP","TOT","USD_CAP","A","2018",42135.780723,"P"
"KOR","GDP","TOT","USD_CAP","A","2019",43425.697451,"E"
"LUX","GDP","TOT","USD_CAP","A","2015",103787.967646,
"LUX","GDP","TOT","USD_CAP","A","2016",110249.797049,
"LUX","GDP","TOT","USD_CAP","A","2017",112701.659716,
"LUX","GDP","TOT","USD_CAP","A","2018",116622.236253,
"LUX","GDP","TOT","USD_CAP","A","2019",119573.202265,
"MEX","GDP","TOT","USD_CAP","A","2015",18438.044081,
"MEX","GDP","TOT","USD_CAP","A","2016",19506.640994,
"MEX","GDP","TOT","USD_CAP","A","2017",20022.661214,"P"
"MEX","GDP","TOT","USD_CAP","A","2018",20659.867277,"E"
"MEX","GDP","TOT","USD_CAP","A","2019",20771.947462,"E"
"NLD","GDP","TOT","USD_CAP","A","2015",50301.845624,
"NLD","GDP","TOT","USD_CAP","A","2016",52284.122623,
"NLD","GDP","TOT","USD_CAP","A","2017",55348.891835,"P"
"NLD","GDP","TOT","USD_CAP","A","2018",57563.957867,"P"
"NLD","GDP","TOT","USD_CAP","A","2019",59419.863105,"P"
"NZL","GDP","TOT","USD_CAP","A","2015",37403.074775,
"NZL","GDP","TOT","USD_CAP","A","2016",39906.374216,
"NZL","GDP","TOT","USD_CAP","A","2017",41556.325496,
"NZL","GDP","TOT","USD_CAP","A","2018",42621.539204,"P"
"NZL","GDP","TOT","USD_CAP","A","2019",43746.155918,"E"
"NOR","GDP","TOT","USD_CAP","A","2015",60368.910038,
"NOR","GDP","TOT","USD_CAP","A","2016",58917.28833,
"NOR","GDP","TOT","USD_CAP","A","2017",62940.203039,
"NOR","GDP","TOT","USD_CAP","A","2018",67639.112065,
"NOR","GDP","TOT","USD_CAP","A","2019",69169.203192,
"POL","GDP","TOT","USD_CAP","A","2015",26529.036797,
"POL","GDP","TOT","USD_CAP","A","2016",27947.390312,
"POL","GDP","TOT","USD_CAP","A","2017",29801.809392,
"POL","GDP","TOT","USD_CAP","A","2018",31471.211131,
"POL","GDP","TOT","USD_CAP","A","2019",33379.753262,
"PRT","GDP","TOT","USD_CAP","A","2015",29668.804155,
"PRT","GDP","TOT","USD_CAP","A","2016",31604.417531,
"PRT","GDP","TOT","USD_CAP","A","2017",33086.07203,
"PRT","GDP","TOT","USD_CAP","A","2018",34340.770664,"P"
"PRT","GDP","TOT","USD_CAP","A","2019",35965.298407,"E"
"SVK","GDP","TOT","USD_CAP","A","2015",29932.196336,
"SVK","GDP","TOT","USD_CAP","A","2016",29651.493438,
"SVK","GDP","TOT","USD_CAP","A","2017",30912.235797,
"SVK","GDP","TOT","USD_CAP","A","2018",32579.38909,
"SVK","GDP","TOT","USD_CAP","A","2019",33918.940074,
"ESP","GDP","TOT","USD_CAP","A","2015",34938.581464,
"ESP","GDP","TOT","USD_CAP","A","2016",37309.865924,
"ESP","GDP","TOT","USD_CAP","A","2017",39626.846666,"P"
"ESP","GDP","TOT","USD_CAP","A","2018",40542.184587,"P"
"ESP","GDP","TOT","USD_CAP","A","2019",41757.97602,"P"
"SWE","GDP","TOT","USD_CAP","A","2015",49116.236552,
"SWE","GDP","TOT","USD_CAP","A","2016",50425.08065,
"SWE","GDP","TOT","USD_CAP","A","2017",52739.003235,
"SWE","GDP","TOT","USD_CAP","A","2018",53746.798974,
"SWE","GDP","TOT","USD_CAP","A","2019",54772.093424,
"CHE","GDP","TOT","USD_CAP","A","2015",63938.958241,
"CHE","GDP","TOT","USD_CAP","A","2016",65720.161893,
"CHE","GDP","TOT","USD_CAP","A","2017",67139.04087,
"CHE","GDP","TOT","USD_CAP","A","2018",69357.504185,
"CHE","GDP","TOT","USD_CAP","A","2019",70485.014502,"P"
"TUR","GDP","TOT","USD_CAP","A","2015",25727.604649,
"TUR","GDP","TOT","USD_CAP","A","2016",26509.937205,
"TUR","GDP","TOT","USD_CAP","A","2017",28208.552414,
"TUR","GDP","TOT","USD_CAP","A","2018",28454.631556,
"TUR","GDP","TOT","USD_CAP","A","2019",28402.26846,"E"
"GBR","GDP","TOT","USD_CAP","A","2015",42522.183841,
"GBR","GDP","TOT","USD_CAP","A","2016",44138.043208,
"GBR","GDP","TOT","USD_CAP","A","2017",45987.961004,
"GBR","GDP","TOT","USD_CAP","A","2018",46973.254997,
"GBR","GDP","TOT","USD_CAP","A","2019",48092.162681,
"USA","GDP","TOT","USD_CAP","A","2015",56770.417349,
"USA","GDP","TOT","USD_CAP","A","2016",57884.491072,
"USA","GDP","TOT","USD_CAP","A","2017",59984.093912,
"USA","GDP","TOT","USD_CAP","A","2018",62852.658229,
"USA","GDP","TOT","USD_CAP","A","2019",65126.619982,"E"
"CHL","GDP","TOT","USD_CAP","A","2015",22593.272962,
"CHL","GDP","TOT","USD_CAP","A","2016",22624.825752,
"CHL","GDP","TOT","USD_CAP","A","2017",23597.457218,
"CHL","GDP","TOT","USD_CAP","A","2018",24710.818532,
"CHL","GDP","TOT","USD_CAP","A","2019",25074.94399,
"CHN","GDP","TOT","USD_CAP","A","2015",12946.311085,
"CHN","GDP","TOT","USD_CAP","A","2016",13533.786406,
"CHN","GDP","TOT","USD_CAP","A","2017",14306.396116,
"COL","GDP","TOT","USD_CAP","A","2015",14104.573354,
"COL","GDP","TOT","USD_CAP","A","2016",14196.118441,
"COL","GDP","TOT","USD_CAP","A","2017",14625.512565,
"COL","GDP","TOT","USD_CAP","A","2018",15336.085167,"P"
"COL","GDP","TOT","USD_CAP","A","2019",15984.846279,"E"
"EST","GDP","TOT","USD_CAP","A","2015",29444.318328,
"EST","GDP","TOT","USD_CAP","A","2016",31228.858877,
"EST","GDP","TOT","USD_CAP","A","2017",33866.759766,
"EST","GDP","TOT","USD_CAP","A","2018",36437.352038,
"EST","GDP","TOT","USD_CAP","A","2019",38463.030662,
"IND","GDP","TOT","USD_CAP","A","2015",5577.186655,
"IND","GDP","TOT","USD_CAP","A","2016",5901.594939,
"IDN","GDP","TOT","USD_CAP","A","2015",10364.08574,
"IDN","GDP","TOT","USD_CAP","A","2016",10610.811127,
"IDN","GDP","TOT","USD_CAP","A","2017",11050.882373,
"ISR","GDP","TOT","USD_CAP","A","2015",35449.501075,
"ISR","GDP","TOT","USD_CAP","A","2016",37855.603781,
"ISR","GDP","TOT","USD_CAP","A","2017",38982.658321,
"ISR","GDP","TOT","USD_CAP","A","2018",40269.498744,
"ISR","GDP","TOT","USD_CAP","A","2019",41678.278429,"E"
"RUS","GDP","TOT","USD_CAP","A","2015",24085.312853,
"RUS","GDP","TOT","USD_CAP","A","2016",24125.394343,
"RUS","GDP","TOT","USD_CAP","A","2017",26005.967564,
"RUS","GDP","TOT","USD_CAP","A","2018",28763.522294,
"RUS","GDP","TOT","USD_CAP","A","2019",29440.752934,
"SVN","GDP","TOT","USD_CAP","A","2015",31640.32549,
"SVN","GDP","TOT","USD_CAP","A","2016",33875.006579,
"SVN","GDP","TOT","USD_CAP","A","2017",36660.871569,
"SVN","GDP","TOT","USD_CAP","A","2018",38785.508635,
"SVN","GDP","TOT","USD_CAP","A","2019",40020.248106,
"ZAF","GDP","TOT","USD_CAP","A","2015",12695.428679,
"ZAF","GDP","TOT","USD_CAP","A","2016",12720.080752,
"ZAF","GDP","TOT","USD_CAP","A","2017",12810.965544,
"EU28","GDP","TOT","USD_CAP","A","2015",38763.286943,
"EU28","GDP","TOT","USD_CAP","A","2016",41006.850115,
"EU28","GDP","TOT","USD_CAP","A","2017",43183.561976,
